Modality,Annotation Size,PSNR_loss
unet_shuffle_inception_no_progressive,62.0,
unet_shuffle_inception_no_progressive,76.0,
unet_shuffle_inception_no_progressive,99.0,
unet_shuffle_inception_no_progressive,182.0,
unet_shuffle_inception_no_progressive,323.0,
unet_shuffle_inception_no_progressive,472.0,
unet_shuffle_inception_no_progressive,506.0,
unet_shuffle_inception_no_progressive,529.0,
unet_shuffle_inception_no_progressive,534.0,
unet_shuffle_inception_no_progressive,567.0,
unet_shuffle_inception_no_progressive,441.0,
unet_shuffle_inception_no_progressive,445.0,
unet_shuffle_inception_no_progressive,561.0,
unet_shuffle_inception_no_progressive,589.0,
unet_shuffle_inception_no_progressive,575.0,
unet_shuffle_inception_no_progressive,523.0,
unet_shuffle_inception_no_progressive,350.0,
unet_shuffle_inception_no_progressive,383.0,
unet_shuffle_inception_no_progressive,358.0,
unet_shuffle_inception_no_progressive,327.0,
unet_shuffle_inception_no_progressive,290.0,
unet_shuffle_inception_no_progressive,21.3333333333,
unet_shuffle_inception_no_progressive,56.75,
unet_shuffle_inception_no_progressive,68.75,
unet_shuffle_inception_no_progressive,70.0,
unet_shuffle_inception_no_progressive,62.5,
unet_shuffle_inception_no_progressive,49.75,
unet_shuffle_inception_no_progressive,198.0,
unet_shuffle_inception_no_progressive,128.5,
unet_shuffle_inception_no_progressive,176.5,
unet_shuffle_inception_no_progressive,177.5,
unet_shuffle_inception_no_progressive,205.0,
unet_shuffle_inception_no_progressive,189.5,
unet_shuffle_inception_no_progressive,201.0,
unet_shuffle_inception_no_progressive,207.5,
unet_shuffle_inception_no_progressive,175.0,
unet_shuffle_inception_no_progressive,192.0,
unet_shuffle_inception_no_progressive,160.5,
unet_shuffle_inception_no_progressive,279.0,
unet_shuffle_inception_no_progressive,291.0,
unet_shuffle_inception_no_progressive,263.0,
unet_shuffle_inception_no_progressive,299.0,
unet_shuffle_inception_no_progressive,285.0,
unet_shuffle_inception_no_progressive,267.0,
unet_shuffle_inception_no_progressive,230.0,
unet_shuffle_inception_no_progressive,216.0,
unet_shuffle_inception_no_progressive,189.0,
unet_shuffle_inception_no_progressive,187.0,
unet_shuffle_inception_no_progressive,159.0,
unet_shuffle_inception_no_progressive,148.0,
unet_shuffle_inception_no_progressive,166.0,
unet_shuffle_inception_no_progressive,106.0,
unet_shuffle_inception_no_progressive,19.3333333333,
unet_shuffle_inception_no_progressive,24.75,
unet_shuffle_inception_no_progressive,31.5,
unet_shuffle_inception_no_progressive,23.75,
unet_shuffle_inception_no_progressive,69.75,
unet_shuffle_inception_no_progressive,78.25,
unet_shuffle_inception_no_progressive,83.75,
unet_shuffle_inception_no_progressive,94.25,
unet_shuffle_inception_no_progressive,71.0,
unet_shuffle_inception_no_progressive,35.5,
unet_shuffle_inception_no_progressive,36.25,
unet_shuffle_inception_no_progressive,80.75,
unet_shuffle_inception_no_progressive,57.5,
unet_shuffle_inception_no_progressive,93.6666666667,
unet_shuffle_inception_no_progressive,133.666666667,
unet_shuffle_inception_no_progressive,146.333333333,
unet_shuffle_inception_no_progressive,49.0,
unet_shuffle_inception_no_progressive,65.0,
unet_shuffle_inception_no_progressive,45.0,
unet_shuffle_inception_no_progressive,53.75,
unet_shuffle_inception_no_progressive,12.5,
unet_shuffle_inception_no_progressive,90.0,
unet_shuffle_inception_no_progressive,227.0,
unet_shuffle_inception_no_progressive,272.0,
unet_shuffle_inception_no_progressive,265.0,
unet_shuffle_inception_no_progressive,162.0,
unet_shuffle_inception_no_progressive,67.0,
unet_shuffle_inception_no_progressive,45.3333333333,
unet_shuffle_inception_no_progressive,11.25,
unet_shuffle_inception_no_progressive,47.5,
unet_shuffle_inception_no_progressive,48.5,
unet_shuffle_inception_no_progressive,30.5,
unet_shuffle_inception_no_progressive,212.0,
unet_shuffle_inception_no_progressive,169.0,
unet_shuffle_inception_no_progressive,79.5,
unet_shuffle_inception_no_progressive,34.25,
unet_shuffle_inception_no_progressive,26.3333333333,
unet_shuffle_inception_no_progressive,20.5,
unet_shuffle_inception_no_progressive,17.5,
unet_shuffle_inception_no_progressive,8.5,
unet_shuffle_inception_no_progressive,26.6666666667,
unet_shuffle_inception_no_progressive,49.6666666667,
unet_shuffle_inception_no_progressive,45.6666666667,
unet_shuffle_inception_no_progressive,27.3333333333,
unet_shuffle_inception_no_progressive,52.6666666667,
unet_shuffle_inception_no_progressive,39.6666666667,
unet_shuffle_inception_no_progressive,14.3333333333,
unet_shuffle_inception_no_progressive,179.666666667,
unet_shuffle_inception_no_progressive,268.333333333,
unet_shuffle_inception_no_progressive,55.0,
unet_shuffle_inception_no_progressive,6.5,
unet_shuffle_inception_no_progressive,39.5,
unet_shuffle_inception_no_progressive,38.25,
unet_shuffle_inception_no_progressive,61.25,
unet_shuffle_inception_no_progressive,85.75,
unet_shuffle_inception_no_progressive,98.75,
unet_shuffle_inception_no_progressive,97.25,
unet_shuffle_inception_no_progressive,66.75,
unet_shuffle_inception_no_progressive,41.3333333333,
unet_shuffle_inception_no_progressive,84.0,
unet_shuffle_inception_no_progressive,108.666666667,
unet_shuffle_inception_no_progressive,149.0,
unet_shuffle_inception_no_progressive,163.666666667,
unet_shuffle_inception_no_progressive,159.666666667,
unet_shuffle_inception_no_progressive,190.333333333,
unet_shuffle_inception_no_progressive,260.333333333,
unet_shuffle_inception_no_progressive,304.0,
unet_shuffle_inception_no_progressive,272.666666667,
unet_shuffle_inception_no_progressive,233.0,
unet_shuffle_inception_no_progressive,243.0,
unet_shuffle_inception_no_progressive,253.0,
unet_shuffle_inception_no_progressive,238.0,
unet_shuffle_inception_no_progressive,227.333333333,
unet_shuffle_inception_no_progressive,250.0,
unet_shuffle_inception_no_progressive,136.0,
unet_shuffle_inception_no_progressive,58.0,
unet_shuffle_inception_no_progressive,94.6666666667,
unet_shuffle_inception_no_progressive,118.333333333,
unet_shuffle_inception_no_progressive,121.333333333,
unet_shuffle_inception_no_progressive,321.666666667,
unet_shuffle_inception_no_progressive,367.666666667,
unet_shuffle_inception_no_progressive,413.333333333,
unet_shuffle_inception_no_progressive,362.333333333,
unet_shuffle_inception_no_progressive,346.0,
unet_shuffle_inception_no_progressive,339.666666667,
unet_shuffle_inception_no_progressive,341.0,
unet_shuffle_inception_no_progressive,240.0,
unet_shuffle_inception_no_progressive,228.666666667,
unet_shuffle_inception_no_progressive,200.0,
unet_shuffle_inception_no_progressive,217.333333333,
unet_shuffle_inception_no_progressive,196.666666667,
unet_shuffle_inception_no_progressive,173.5,
unet_shuffle_inception_no_progressive,142.0,
unet_shuffle_inception_no_progressive,168.0,
unet_shuffle_inception_no_progressive,193.0,
unet_shuffle_inception_no_progressive,146.0,
unet_shuffle_inception_no_progressive,158.0,
unet_shuffle_inception_no_progressive,81.0,
unet_shuffle_inception_no_progressive,48.75,
unet_shuffle_inception_no_progressive,75.25,
unet_shuffle_inception_no_progressive,62.75,
unet_shuffle_inception_no_progressive,56.25,
unet_shuffle_inception_no_progressive,37.75,
unet_shuffle_inception_no_progressive,96.0,
unet_shuffle_inception_no_progressive,156.0,
unet_shuffle_inception_no_progressive,145.0,
unet_shuffle_inception_no_progressive,171.0,
unet_shuffle_inception_no_progressive,87.5,
unet_shuffle_inception_no_progressive,38.6666666667,
unet_shuffle_inception_no_progressive,163.0,
unet_shuffle_inception_no_progressive,131.5,
unet_shuffle_inception_no_progressive,108.5,
unet_shuffle_inception_no_progressive,57.6666666667,
unet_shuffle_inception_no_progressive,46.0,
unet_shuffle_inception_no_progressive,64.5,
unet_shuffle_inception_no_progressive,60.75,
unet_shuffle_inception_no_progressive,35.3333333333,
unet_shuffle_inception_no_progressive,24.6666666667,
unet_shuffle_inception_no_progressive,42.6666666667,
unet_shuffle_inception_no_progressive,27.75,
unet_shuffle_inception_no_progressive,167.0,
unet_shuffle_inception_no_progressive,241.0,
unet_shuffle_inception_no_progressive,223.75,
unet_shuffle_inception_no_progressive,179.333333333,
unet_shuffle_inception_no_progressive,45.75,
unet_shuffle_inception_no_progressive,35.6666666667,
unet_shuffle_inception_no_progressive,166.25,
unet_shuffle_inception_no_progressive,250.25,
unet_shuffle_inception_no_progressive,303.75,
unet_shuffle_inception_no_progressive,366.5,
unet_shuffle_inception_no_progressive,436.75,
unet_shuffle_inception_no_progressive,486.25,
unet_shuffle_inception_no_progressive,550.25,
unet_shuffle_inception_no_progressive,547.75,
unet_shuffle_inception_no_progressive,557.75,
unet_shuffle_inception_no_progressive,555.25,
unet_shuffle_inception_no_progressive,541.0,
unet_shuffle_inception_no_progressive,520.0,
unet_shuffle_inception_no_progressive,482.75,
unet_shuffle_inception_no_progressive,444.0,
unet_shuffle_inception_no_progressive,322.5,
unet_shuffle_inception_no_progressive,267.75,
unet_shuffle_inception_no_progressive,231.5,
unet_shuffle_inception_no_progressive,92.5,
unet_shuffle_inception_no_progressive,246.5,
unet_shuffle_inception_no_progressive,308.0,
unet_shuffle_inception_no_progressive,381.0,
unet_shuffle_inception_no_progressive,540.75,
unet_shuffle_inception_no_progressive,605.75,
unet_shuffle_inception_no_progressive,678.5,
unet_shuffle_inception_no_progressive,700.25,
unet_shuffle_inception_no_progressive,759.25,
unet_shuffle_inception_no_progressive,777.5,
unet_shuffle_inception_no_progressive,787.0,
unet_shuffle_inception_no_progressive,775.5,
unet_shuffle_inception_no_progressive,720.5,
unet_shuffle_inception_no_progressive,674.75,
unet_shuffle_inception_no_progressive,406.25,
unet_shuffle_inception_no_progressive,338.25,
unet_shuffle_inception_no_progressive,288.5,
unet_shuffle_inception_no_progressive,257.25,
unet_shuffle_inception_no_progressive,197.25,
unet_shuffle_inception_no_progressive,93.25,
unet_shuffle_inception_no_progressive,89.75,
unet_shuffle_inception_no_progressive,119.142857143,
unet_shuffle_inception_no_progressive,295.75,
unet_shuffle_inception_no_progressive,490.0,
unet_shuffle_inception_no_progressive,585.75,
unet_shuffle_inception_no_progressive,685.5,
unet_shuffle_inception_no_progressive,754.25,
unet_shuffle_inception_no_progressive,798.25,
unet_shuffle_inception_no_progressive,811.0,
unet_shuffle_inception_no_progressive,782.5,
unet_shuffle_inception_no_progressive,776.5,
unet_shuffle_inception_no_progressive,772.0,
unet_shuffle_inception_no_progressive,746.5,
unet_shuffle_inception_no_progressive,689.25,
unet_shuffle_inception_no_progressive,608.5,
unet_shuffle_inception_no_progressive,489.5,
unet_shuffle_inception_no_progressive,310.25,
unet_shuffle_inception_no_progressive,228.25,
unet_shuffle_inception_no_progressive,91.8571428571,
unet_shuffle_inception_no_progressive,103.25,
unet_shuffle_inception_no_progressive,129.0,
unet_shuffle_inception_no_progressive,132.0,
unet_shuffle_inception_no_progressive,122.5,
unet_shuffle_inception_no_progressive,199.0,
unet_shuffle_inception_no_progressive,294.0,
unet_shuffle_inception_no_progressive,546.0,
unet_shuffle_inception_no_progressive,739.0,
unet_shuffle_inception_no_progressive,1009.0,
unet_shuffle_inception_no_progressive,1127.0,
unet_shuffle_inception_no_progressive,625.0,
unet_shuffle_inception_no_progressive,621.0,
unet_shuffle_inception_no_progressive,1221.0,
unet_shuffle_inception_no_progressive,1142.0,
unet_shuffle_inception_no_progressive,1020.0,
unet_shuffle_inception_no_progressive,75.1666666667,
unet_shuffle_inception_no_progressive,123.0,
unet_shuffle_inception_no_progressive,75.75,
unet_shuffle_inception_no_progressive,77.3333333333,
unet_shuffle_inception_no_progressive,72.1666666667,
unet_shuffle_inception_no_progressive,165.333333333,
unet_shuffle_inception_no_progressive,314.333333333,
unet_shuffle_inception_no_progressive,219.8,
unet_shuffle_inception_no_progressive,236.833333333,
unet_shuffle_inception_no_progressive,269.5,
unet_shuffle_inception_no_progressive,265.25,
unet_shuffle_inception_no_progressive,306.0,
unet_shuffle_inception_no_progressive,240.666666667,
unet_shuffle_inception_no_progressive,90.6666666667,
unet_shuffle_inception_no_progressive,138.0,
unet_shuffle_inception_no_progressive,206.0,
unet_shuffle_inception_no_progressive,24.25,
unet_shuffle_inception_no_progressive,28.5,
unet_shuffle_inception_no_progressive,56.0,
unet_shuffle_inception_no_progressive,242.0,
unet_shuffle_inception_no_progressive,308.333333333,
unet_shuffle_inception_no_progressive,307.5,
unet_shuffle_inception_no_progressive,422.75,
unet_shuffle_inception_no_progressive,447.25,
unet_shuffle_inception_no_progressive,456.0,
unet_shuffle_inception_no_progressive,461.0,
unet_shuffle_inception_no_progressive,481.0,
unet_shuffle_inception_no_progressive,520.5,
unet_shuffle_inception_no_progressive,525.25,
unet_shuffle_inception_no_progressive,548.5,
unet_shuffle_inception_no_progressive,552.0,
unet_shuffle_inception_no_progressive,528.5,
unet_shuffle_inception_no_progressive,540.5,
unet_shuffle_inception_no_progressive,551.75,
unet_shuffle_inception_no_progressive,416.0,
unet_shuffle_inception_no_progressive,333.5,
unet_shuffle_inception_no_progressive,315.5,
unet_shuffle_inception_no_progressive,181.25,
unet_shuffle_inception_no_progressive,126.5,
unet_shuffle_inception_no_progressive,80.25,
unet_shuffle_inception_no_progressive,59.6666666667,
unet_shuffle_inception_no_progressive,62.6666666667,
unet_shuffle_inception_no_progressive,68.6666666667,
unet_shuffle_inception_no_progressive,75.3333333333,
unet_shuffle_inception_no_progressive,40.6666666667,
unet_shuffle_inception_no_progressive,54.3333333333,
unet_shuffle_inception_no_progressive,16.4,
unet_shuffle_inception_no_progressive,23.5714285714,
unet_shuffle_inception_no_progressive,42.7142857143,
unet_shuffle_inception_no_progressive,87.25,
unet_shuffle_inception_no_progressive,25.5,
unet_shuffle_inception_no_progressive,44.5,
unet_shuffle_inception_no_progressive,63.5,
unet_shuffle_inception_no_progressive,306.333333333,
unet_shuffle_inception_no_progressive,351.666666667,
unet_shuffle_inception_no_progressive,428.666666667,
unet_shuffle_inception_no_progressive,589.333333333,
unet_shuffle_inception_no_progressive,757.0,
unet_shuffle_inception_no_progressive,943.0,
unet_shuffle_inception_no_progressive,908.0,
unet_shuffle_inception_no_progressive,810.666666667,
unet_shuffle_inception_no_progressive,686.666666667,
unet_shuffle_inception_no_progressive,581.0,
unet_shuffle_inception_no_progressive,135.0,
unet_shuffle_inception_no_progressive,42.5,
unet_shuffle_inception_no_progressive,33.6666666667,
unet_shuffle_inception_no_progressive,228.0,
unet_shuffle_inception_no_progressive,338.0,
unet_shuffle_inception_no_progressive,902.0,
unet_shuffle_inception_no_progressive,939.0,
unet_shuffle_inception_no_progressive,904.0,
unet_shuffle_inception_no_progressive,793.0,
unet_shuffle_inception_no_progressive,693.0,
unet_shuffle_inception_no_progressive,633.0,
unet_shuffle_inception_no_progressive,616.0,
unet_shuffle_inception_no_progressive,592.0,
unet_shuffle_inception_no_progressive,543.0,
unet_shuffle_inception_no_progressive,398.0,
unet_shuffle_inception_no_progressive,235.0,
unet_shuffle_inception_no_progressive,411.75,
unet_shuffle_inception_no_progressive,526.5,
unet_shuffle_inception_no_progressive,503.75,
unet_shuffle_inception_no_progressive,503.0,
unet_shuffle_inception_no_progressive,404.25,
unet_shuffle_inception_no_progressive,313.25,
unet_shuffle_inception_no_progressive,170.75,
unet_shuffle_inception_no_progressive,178.5,
unet_shuffle_inception_no_progressive,297.25,
unet_shuffle_inception_no_progressive,389.0,
unet_shuffle_inception_no_progressive,438.0,
unet_shuffle_inception_no_progressive,198.5,
unet_shuffle_inception_no_progressive,139.333333333,
unet_shuffle_inception_no_progressive,236.5,
unet_shuffle_inception_no_progressive,298.0,
